规格销量单价占比分析
规格,单价
"275/70R17	",3.44
"1400R25	",2.85
"225/45R17	",1.69
"R198	",1.59
"12.00R16	",1.50
"385/95R24	",0.90
"20R16	",0.86
"65R17	",0.69
"13.00R25	",0.68
"12.00R22.5	",0.67
"195/60R15	",0.63
"R537	",0.60
"205/55R16	",0.59
"315/810R22.5	",0.57
"225/60R17	",0.57
"1100R22.5	",0.56
"1200/R20	",0.56
"165/70R14L	",0.56
"700R15	",0.54
"13.00R20	",0.53
"235/75R19.5	",0.52
"26/65R17	",0.52
"205/60R16	",0.51
"12.00R24	",0.51
"315/80R22.6	",0.51
"245/75R17.5	",0.50
"255/75R15	",0.50
"12R24	",0.50
"11.0R20	",0.50
"10.0R20	",0.50
"315/70R225.	",0.49
"185/55R15	",0.49
"295/65R22.5	",0.49
"235/80R13	",0.49
"285/80R22.5	",0.49
"315/80R22.5	",0.49
"650R16	",0.48
"325/95R24	",0.48
"165/70R13C	",0.48
"750R20	",0.48
"10.00R17.5	",0.48
"33/12.50R15	",0.47
"185/60R15	",0.47
"295/80R225	",0.47
"11R20	",0.47
"6.50R16	",0.47
"9.0R20	",0.47
"11.00R20	",0.47
"11R22.50	",0.47
"205/75R6C	",0.47
"195/75R14	",0.47
"165/70R13L	",0.47
"205/65R15	",0.47
"R2000	",0.47
"195/50R15	",0.47
"315/80R2.5	",0.47
"7.5R16L	",0.46
"7.00R16	",0.46
"175/80R13	",0.46
"1200R24	",0.46
"205/75R14	",0.46
"16.00R25	",0.46
"13R22.5	",0.46
"6.5R16L	",0.46
"R200	",0.46
"315/80R22.5315	",0.46
"165R13	",0.46
"10.00R22.5	",0.46
"9.00R20	",0.46
"295/80R22.5	",0.46
"700R16	",0.46
"12.00R20	",0.46
"11.00R22	",0.46
"265/70R15	",0.46
"8.25R20	",0.46
"11R24..5	",0.46
"825R20	",0.46
"11R24.5	",0.46
"8.25R16L	",0.45
"1100R20	",0.45
"R801	",0.45
"235/85R16	",0.45
"205/75R15	",0.45
"R.T	",0.45
"8.25R16	",0.45
"12R22.5	",0.45
"225/90R16	",0.45
"5R25	",0.45
"235/80R16	",0.45
"5.00R12L	",0.45
"6.00R13	",0.45
"215/75R14	",0.45
"285/75R24.5	",0.45
"11R22.5	",0.45
"275/80R22.5	",0.45
"385/65R22.5	",0.45
"255/70R15	",0.45
"R12	",0.45
"750R16	",0.45
"185/80R13	",0.45
"185R15C	",0.44
"8.25R20L	",0.44
"R802	",0.44
"145R12	",0.44
"1000R20	",0.44
"315/75R16	",0.44
"305/70R22.5	",0.44
"195R15L	",0.44
"10.00R20	",0.44
"12.50R15L	",0.44
"16.00R25R	",0.44
"295/75R22.5	",0.44
"825R16	",0.44
"900R20	",0.44
"205R14C	",0.44
"10.00R15T	",0.44
"295/75R24.5	",0.44
"225/75R15	",0.44
"10R17.5	",0.44
"205/70R15	",0.44
"5.00R12	",0.44
"235/55R17	",0.44
"/75R22.5	",0.43
"145R12L	",0.43
"R120	",0.43
"255/70R22.5	",0.43
"7.50R20	",0.43
"225/45R18	",0.43
"7.50R16	",0.43
"195R14	",0.43
"175/70R13	",0.43
"295/70R19.5	",0.43
"7.50R16L	",0.43
"205/80R16C	",0.43
"155R13C	",0.43
"165/80R14	",0.43
"235/85R1610P	",0.43
"175/65R14C	",0.43
"8.5R17.5	",0.43
"175/65R14	",0.43
"12R22.5H	",0.43
"175R13	",0.43
"155R13	",0.43
"205/60R16C	",0.43
"10.5R15C	",0.43
"175R13L	",0.43
"145R13C	",0.43
"9.50R17.5	",0.43
"155/70R12	",0.43
"12R24.5	",0.43
"500R12	",0.43
"5.50R12L	",0.43
"155R12	",0.43
"195R15	",0.43
"6.00R14	",0.43
"9.50R15L	",0.43
"6.50R15	",0.43
"7.00R20	",0.43
"185R15	",0.43
"8.25R15T	",0.42
"205/75R14C	",0.42
"195/R14	",0.42
"650R15L	",0.42
"165/70R13	",0.42
"305/75R24.5	",0.42
"225/70R15	",0.42
"285/70R17	",0.42
"165/70R14C	",0.42
"165R13L	",0.42
"145R12C	",0.42
"205/70R15L	",0.42
"10.50R15L	",0.42
"185/65R14	",0.42
"155R12L	",0.42
"225/75R16L	",0.42
"225/75R15C	",0.42
"215R14L	",0.42
"145/70R12	",0.42
"275/70R16	",0.42
"7.00R16C	",0.42
"185R14	",0.42
"175R14L	",0.42
"195/80R15C	",0.42
"285/70R19.5	",0.42
"11.00R22.5	",0.42
"1100R22	",0.42
"185R14C	",0.42
"9.5R17.5	",0.42
"195/65R16C	",0.42
"165R13C	",0.42
"R832	",0.42
"185/60R14	",0.42
"600R13L	",0.42
"225/55R19	",0.42
"R22	",0.42
"175R13C	",0.42
"8R19.5	",0.42
"12.5R20L	",0.42
"650R15	",0.42
"225/70R19.5	",0.42
"6.50R16L	",0.42
"235/70R17	",0.42
"10R22.5	",0.42
"195R14L	",0.42
"R19	",0.42
"175R14C	",0.41
"215/60R16C	",0.41
"195/70R15L	",0.41
"205/70R15C	",0.41
"185R14L	",0.41
"175/70R14L	",0.41
"215/65R16C	",0.41
"9R22.5	",0.41
"315/70R22	",0.41
"215/70R15C	",0.41
"235/65R16C	",0.41
"205/75R16C	",0.41
"225/75R16C	",0.41
"205R16L	",0.41
"650R16L	",0.41
"700R15L	",0.41
"215/65R15C	",0.41
"205/65R15C	",0.41
"10.00R15L	",0.41
"165R14L	",0.41
"315/70R22.5	",0.41
"235/75R17.5	",0.41
"265/70R19.5	",0.41
"195/70R15	",0.41
"700R16L	",0.41
"185/75R16L	",0.41
"275/70R22.5	",0.41
"5.50R13	",0.41
"12R20	",0.41
"215/75R17.5	",0.41
"195R15C	",0.41
"4.00R12L	",0.41
"185/70R14	",0.41
"215/80R22.5	",0.41
"215/85R16	",0.41
"7.00R16L	",0.41
"245/70R16	",0.41
"255/70R15L	",0.41
"225/70R15L	",0.41
"215/70R15L	",0.41
"195R14C	",0.41
"175/70R14C	",0.41
"205R14L	",0.41
"550R13L	",0.41
"14.00R20N	",0.41
"7.50R15L	",0.41
"500R12L	",0.41
"600R14L	",0.41
"215R16C	",0.41
"265/70R17L	",0.41
"305/70R16	",0.41
"155/70R13	",0.41
"11R22.5.5	",0.41
"235/75R15	",0.41
"500R12C	",0.41
"225/75R15L	",0.41
"205/65R16C	",0.41
"265/70R17	",0.41
"235/50R19	",0.41
"215/65R16	",0.41
"185/75R16C	",0.41
"385/55R19.5	",0.41
"445/65R22.5	",0.41
"305/70R19.5	",0.41
"195/75R16L	",0.41
"195/70R15C	",0.41
"13.00R22.5	",0.40
"750R16L	",0.40
"215/75R15C	",0.40
"11.00R16.5	",0.40
"305/75R24	",0.40
"245/70R17L	",0.40
"R19.5	",0.40
"5.50R13L	",0.40
"R706	",0.40
"215/75R14C	",0.40
"215/75R16C	",0.40
"255/70R15C	",0.40
"205/75R15C	",0.40
"245/70R19.5	",0.40
"245/45R19	",0.40
"R18	",0.40
"7.00R15L	",0.40
"7.50R15T	",0.40
"215/85R16L	",0.40
"10.5R15	",0.40
"235/75R15L	",0.40
"1200R20	",0.40
"10.50R15	",0.40
"265/75R16L	",0.40
"155R13T	",0.40
"235/85R16L	",0.40
"7.00R15	",0.40
"425/65R22.5	",0.40
"285/55R20L	",0.40
"225/75R17.5	",0.40
"225/75R16	",0.40
"215/75R15	",0.40
"550R12L	",0.40
"445/45R19.5	",0.40
"385/55R22.5	",0.40
"225/70R15C	",0.40
"195/75R16C	",0.40
"225/65R16C	",0.40
"205/85R16L	",0.40
"195/60R16C	",0.40
"215R15C	",0.40
"155R12C	",0.40
"5.50R13C	",0.39
"245/75R15C	",0.39
"185/65R15	",0.39
"225/65R16	",0.39
"185R15L	",0.39
"4.80R12	",0.39
"12.5R15L	",0.39
"6.00R14L	",0.39
"205/70R14C	",0.39
"7.00R12N	",0.39
"265/75R16	",0.39
"175R16C	",0.39
"215/75R15L	",0.39
"215/70R17.5	",0.39
"265/70R16	",0.39
"215/55R16	",0.39
"245/75R16L	",0.39
"435/50R19.5	",0.39
"205R16C	",0.39
"9.00R16L	",0.39
"245/75R16	",0.39
"235/75R15C	",0.39
"285/75R16	",0.39
"10.5R15L	",0.39
"155R13L	",0.39
"175/75R16C	",0.39
"11R22.5R	",0.38
"225/80R17.5	",0.38
"205R16	",0.38
"14.00R20	",0.38
"10R16.5	",0.38
"275/65R20	",0.38
"275/65R18	",0.38
"245/65R17L	",0.38
"195R14K	",0.38
"6.00R13L	",0.38
"R24	",0.38
"205/75R17.5	",0.38
"215/70R16C	",0.38
"8.25R15	",0.38
"245/70R16L	",0.38
"6.50R15L	",0.38
"265/70R16L	",0.38
"10R15	",0.38
"6.00R15L	",0.38
"10R14	",0.38
"295/60R22.5	",0.38
"195/85R16L	",0.38
"7.5R16	",0.38
"285/70R18	",0.38
"255/70R22.5R	",0.38
"275/65R18L	",0.38
"165/70R12C	",0.38
"245/70R17	",0.38
"5.00R12C	",0.38
"9.00R20N	",0.38
"235/75R16L	",0.38
"405/70R18	",0.38
"215/70R16L	",0.38
"245/65R17	",0.38
"R226	",0.38
"R206	",0.38
"0.50R15L	",0.38
"10.50R20L	",0.38
"R115	",0.38
"12R16.5	",0.37
"295/55R20	",0.37
"195/70R14	",0.37
"245/70R17.5	",0.37
"245/30R20	",0.37
"R22.5	",0.37
"445/50R22.5	",0.37
"195/80R15L	",0.37
"255/70R16	",0.37
"205/85R16	",0.37
"275/70R18	",0.37
"185R13C	",0.37
"195/65R15C	",0.37
"245/75R17	",0.37
"285/60R18	",0.37
"265/70R18	",0.37
"265/65R17L	",0.37
"305/60R20	",0.37
"165R14C	",0.37
"195/75R16	",0.37
"235/80R17	",0.37
"7.50R15	",0.37
"285/70R17L	",0.37
"295/70R17	",0.37
"12.50R22	",0.36
"295/70R18	",0.36
"255/70R19.5	",0.36
"275/70R22.5R	",0.36
"12.50R17L	",0.36
"225/55R18	",0.36
"315/80R22.5G	",0.36
"215/70R15	",0.36
"445/95R25	",0.36
"12R22.5R	",0.36
"12.5R20	",0.36
"R106	",0.36
"11R18	",0.36
"5.00R12U	",0.36
"10.5R16	",0.36
"R17.5	",0.36
"225/65R17L	",0.36
"13.50R22L	",0.36
"265/60R18	",0.36
"225/70R17C	",0.36
"285/65R18	",0.36
"285/75R17	",0.36
"R16	",0.36
"285/55R20	",0.36
"225/70R22.5	",0.36
"12.50R20L	",0.36
"185/60R12	",0.36
"305/55R20	",0.36
"285/50R22	",0.36
"325/60R20	",0.36
"295/65R20	",0.36
"13.50R20L	",0.36
"215R14C	",0.36
"225/75R15N	",0.36
"5.30R12	",0.36
"201/70R15C	",0.36
"12.50R22L	",0.36
"185/60R12C	",0.36
"13.50R17L	",0.36
"12.5R16.5	",0.36
"295/60R20	",0.36
"325/50R22	",0.36
"12.5R15	",0.36
"9.5R15	",0.36
"12.50R15	",0.35
"12.50R24	",0.35
"205/70R14	",0.35
"12.50R18L	",0.35
"12.50R18	",0.35
"225/90R17.5	",0.35
"R13C	",0.35
"235/65R16	",0.35
"205/65R16	",0.35
"R20	",0.35
"7.00R15N	",0.35
"235/55R18	",0.35
"12.50R17	",0.35
"315/70R17	",0.35
"185/75R14C	",0.35
"155/70R12C	",0.35
"12.50R20	",0.35
"195/85R16	",0.35
"275/60R20	",0.35
"195/70R14C	",0.35
"R9	",0.35
"R4	",0.35
"R15L	",0.35
"285/75R16L	",0.35
"6.50R10N	",0.35
"175/30R12L	",0.35
"125R15	",0.35
"14R25	",0.35
"275/55R20	",0.35
"12.5R17	",0.35
"185/80R14C	",0.35
"26.5R25	",0.35
"275/75R16	",0.35
"215/60R16	",0.35
"11.50R15L	",0.35
"205/90R15	",0.34
"12.00R20P	",0.34
"295/80R22.5X	",0.34
"215/55R17	",0.34
"285/75R16126	",0.34
"9.5R15L	",0.34
"225/70R16	",0.34
"235/65R17	",0.34
"235/75R16	",0.34
"195/60R16	",0.34
"175/70R14	",0.34
"16.00R20	",0.34
"11.50R15	",0.34
"310/80R22.5	",0.34
"285/75R16122	",0.34
"235/50R18	",0.34
"235/60R18	",0.34
"425/85R21	",0.34
"265/75R16123	",0.34
"195/60R12C	",0.34
"255/75R17	",0.34
"265/70R16110	",0.34
"215/75R16	",0.34
"195/50R13C	",0.34
"235/85R16120	",0.34
"9.50R15	",0.34
"7.00R12	",0.33
"12.00R18P	",0.33
"145R13	",0.33
"12.0R20	",0.33
"8.25R15N	",0.33
"315/60R22.5	",0.33
"145R10C	",0.33
"265/75R16119	",0.33
"13.50R24L	",0.33
"14.00R24	",0.33
"8R22.5	",0.33
"70R16	",0.33
"185/75R16	",0.33
"205/75R16	",0.33
"R17	",0.33
"235/70R16L	",0.33
"185/75R14	",0.33
